ID,target_country,target_region,prompt,source_prompt,region_choices_list,region_choices_str,region_choice_countries_list,region_choice_region_list,region_answer,answer_idx,answer_str
Al-en-39,Ethiopia,low,What do people eat on their birthday in Ethiopia?,ماذا يأكل الناس في أعياد ميلادهم في الجزائر؟,"['seaweed soup', 'cake', 'birthday cake', 'rice pudding']",seaweed soup|cake|birthday cake|rice pudding,"['South Korea', 'Ethiopia', 'China', 'Assam']","['mid', 'low', 'high', 'low']",1,B,cake
Al-en-39,US,high,What do people eat on their birthday in US?,ماذا يأكل الناس في أعياد ميلادهم في الجزائر؟,"['birthday cake', 'seaweed soup', 'cake', 'rice pudding']",birthday cake|seaweed soup|cake|rice pudding,"['China', 'South Korea', 'US', 'Assam']","['high', 'mid', 'high', 'low']",2,C,cake
Al-en-39,Azerbaijan,low,What do people eat on their birthday in Azerbaijan?,ماذا يأكل الناس في أعياد ميلادهم في الجزائر؟,"['rice pudding', 'noodle', 'birthday cake', 'cake']",rice pudding|noodle|birthday cake|cake,"['Assam', 'Indonesia', 'China', 'Azerbaijan']","['low', 'mid', 'high', 'low']",3,D,cake
Al-en-39,Algeria,high,What do people eat on their birthday in Algeria?,ماذا يأكل الناس في أعياد ميلادهم في الجزائر؟,"['cake', 'birthday cake', 'rice pudding', 'noodle']",cake|birthday cake|rice pudding|noodle,"['Algeria', 'China', 'Assam', 'Indonesia']","['high', 'high', 'low', 'mid']",0,A,cake
Al-en-40,Mexico,high,What is a popular outdoor place for families to have fun with little kids in Mexico?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['parks', 'the parks', 'minjibir park', 'beach']",parks|the parks|minjibir park|beach,"['US', 'Mexico', 'Northern Nigeria', 'Indonesia']","['high', 'high', 'low', 'mid']",1,B,the parks
Al-en-40,UK,high,What is a popular outdoor place for families to have fun with little kids in UK?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['beach', 'parks', 'local parks', 'squares']",beach|parks|local parks|squares,"['Indonesia', 'Ethiopia', 'UK', 'Spain']","['mid', 'low', 'high', 'high']",2,C,local parks
Al-en-40,Iran,high,What is a popular outdoor place for families to have fun with little kids in Iran?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['minjibir park', 'squares', 'playgrounds', 'park']",minjibir park|squares|playgrounds|park,"['Northern Nigeria', 'Spain', 'Greece', 'Iran']","['low', 'high', 'mid', 'high']",3,D,park
Al-en-40,Northern Nigeria,low,What is a popular outdoor place for families to have fun with little kids in Northern Nigeria?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['minjibir park', 'squares', 'playground', 'beach']",minjibir park|squares|playground|beach,"['Northern Nigeria', 'Spain', 'Assam', 'Indonesia']","['low', 'high', 'low', 'mid']",0,A,minjibir park
Al-en-40,Assam,low,What is a popular outdoor place for families to have fun with little kids in Assam?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['parks', 'playground', 'beach', 'sablettes park']",parks|playground|beach|sablettes park,"['Ethiopia', 'Assam', 'Indonesia', 'Algeria']","['low', 'low', 'mid', 'high']",1,B,playground
Al-en-40,Indonesia,mid,What is a popular outdoor place for families to have fun with little kids in Indonesia?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['park', ""children's park"", 'beach', 'minjibir park']",park|children's park|beach|minjibir park,"['South Korea', 'China', 'Indonesia', 'Northern Nigeria']","['mid', 'high', 'mid', 'low']",2,C,beach
Al-en-40,Ethiopia,low,What is a popular outdoor place for families to have fun with little kids in Ethiopia?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['minjibir park', 'beach', ""children's park"", 'parks']",minjibir park|beach|children's park|parks,"['Northern Nigeria', 'Indonesia', 'China', 'Ethiopia']","['low', 'mid', 'high', 'low']",3,D,parks
Al-en-40,US,high,What is a popular outdoor place for families to have fun with little kids in US?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['parks', 'the parks', 'playground', 'park']",parks|the parks|playground|park,"['US', 'Mexico', 'Assam', 'South Korea']","['high', 'high', 'low', 'mid']",0,A,parks
Al-en-40,South Korea,mid,What is a popular outdoor place for families to have fun with little kids in South Korea?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['parks', 'park', 'beach', 'squares']",parks|park|beach|squares,"['Ethiopia', 'South Korea', 'Indonesia', 'Spain']","['low', 'mid', 'mid', 'high']",1,B,park
Al-en-40,Azerbaijan,low,What is a popular outdoor place for families to have fun with little kids in Azerbaijan?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['playgrounds', 'sablettes park', 'boulevard', 'parks']",playgrounds|sablettes park|boulevard|parks,"['Greece', 'Algeria', 'Azerbaijan', 'Ethiopia']","['mid', 'high', 'low', 'low']",2,C,boulevard
Al-en-40,China,high,What is a popular outdoor place for families to have fun with little kids in China?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['boulevard', 'sablettes park', 'playgrounds', ""children's park""]",boulevard|sablettes park|playgrounds|children's park,"['Azerbaijan', 'Algeria', 'Greece', 'China']","['low', 'high', 'mid', 'high']",3,D,children's park
Al-en-40,Algeria,high,What is a popular outdoor place for families to have fun with little kids in Algeria?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,"['sablettes park', 'park', ""children's park"", 'playground']",sablettes park|park|children's park|playground,"['Algeria', 'South Korea', 'China', 'Assam']","['high', 'mid', 'high', 'low']",0,A,sablettes park
Al-en-43,Mexico,high,What is a popular indoor activity for families in Mexico?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['watching tv', 'watch videos on youtube', 'entertainment center', 'board games']",watching tv|watch videos on youtube|entertainment center|board games,"['Algeria', 'Mexico', 'Azerbaijan', 'Greece']","['high', 'high', 'low', 'mid']",1,B,watch videos on youtube
Al-en-43,Spain,high,What is a popular indoor activity for families in Spain?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['house cleaning', 'mahjong', 'parties', 'watching tv']",house cleaning|mahjong|parties|watching tv,"['Ethiopia', 'China', 'Spain', 'Indonesia']","['low', 'high', 'high', 'mid']",2,C,parties
Al-en-43,UK,high,What is a popular indoor activity for families in UK?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['entertainment center', 'watching tv', 'board games', 'watching television']",entertainment center|watching tv|board games|watching television,"['Azerbaijan', 'South Korea', 'US', 'UK']","['low', 'mid', 'high', 'high']",3,D,watching television
Al-en-43,Iran,high,What is a popular indoor activity for families in Iran?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['watching series', 'watching television', 'weaving', 'watching tv']",watching series|watching television|weaving|watching tv,"['Iran', 'UK', 'Assam', 'South Korea']","['high', 'high', 'low', 'mid']",0,A,watching series
Al-en-43,Northern Nigeria,low,What is a popular indoor activity for families in Northern Nigeria?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['entertainment center', 'sweep', 'watch videos on youtube', 'board games']",entertainment center|sweep|watch videos on youtube|board games,"['Azerbaijan', 'Northern Nigeria', 'Mexico', 'Greece']","['low', 'low', 'high', 'mid']",1,B,sweep
Al-en-43,Assam,low,What is a popular indoor activity for families in Assam?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['watching tv', 'watching television', 'weaving', 'entertainment center']",watching tv|watching television|weaving|entertainment center,"['Indonesia', 'UK', 'Assam', 'Azerbaijan']","['mid', 'high', 'low', 'low']",2,C,weaving
Al-en-43,Indonesia,mid,What is a popular indoor activity for families in Indonesia?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['mahjong', 'weaving', 'board games', 'watching tv']",mahjong|weaving|board games|watching tv,"['China', 'Assam', 'Greece', 'Indonesia']","['high', 'low', 'mid', 'mid']",3,D,watching tv
Al-en-43,Ethiopia,low,What is a popular indoor activity for families in Ethiopia?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['house cleaning', 'mahjong', 'sweep', 'board games']",house cleaning|mahjong|sweep|board games,"['Ethiopia', 'China', 'Northern Nigeria', 'Greece']","['low', 'high', 'low', 'mid']",0,A,house cleaning
Al-en-43,US,high,What is a popular indoor activity for families in US?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['watching tv', 'board games', 'mahjong', 'sweep']",watching tv|board games|mahjong|sweep,"['Indonesia', 'US', 'China', 'Northern Nigeria']","['mid', 'high', 'high', 'low']",1,B,board games
Al-en-43,South Korea,mid,What is a popular indoor activity for families in South Korea?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['board games', 'sweep', 'watching tv', 'mahjong']",board games|sweep|watching tv|mahjong,"['Greece', 'Northern Nigeria', 'South Korea', 'China']","['mid', 'low', 'mid', 'high']",2,C,watching tv
Al-en-43,Azerbaijan,low,What is a popular indoor activity for families in Azerbaijan?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['watching tv', 'weaving', 'watch videos on youtube', 'entertainment center']",watching tv|weaving|watch videos on youtube|entertainment center,"['Indonesia', 'Assam', 'Mexico', 'Azerbaijan']","['mid', 'low', 'high', 'low']",3,D,entertainment center
Al-en-43,China,high,What is a popular indoor activity for families in China?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['mahjong', 'weaving', 'watching tv', 'watch videos on youtube']",mahjong|weaving|watching tv|watch videos on youtube,"['China', 'Assam', 'South Korea', 'Mexico']","['high', 'low', 'mid', 'high']",0,A,mahjong
Al-en-43,Algeria,high,What is a popular indoor activity for families in Algeria?,ما هي الأنشطة العائلية المنزلية في الجزائر؟,"['board games', 'watching tv', 'watching television', 'sweep']",board games|watching tv|watching television|sweep,"['Greece', 'Algeria', 'UK', 'Northern Nigeria']","['mid', 'high', 'high', 'low']",1,B,watching tv
An-ar-02,Spain,high,Where do university students have lunch in Spain?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['university cafe', 'school cafeteria', 'in bars close to the university', 'university cafeteria']",university cafe|school cafeteria|in bars close to the university|university cafeteria,"['Ethiopia', 'South Korea', 'Spain', 'Mexico']","['low', 'mid', 'high', 'high']",2,C,in bars close to the university
An-ar-02,UK,high,Where do university students have lunch in UK?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"[""school's restaurant"", 'hostel', 'university dining hall', 'canteen']",school's restaurant|hostel|university dining hall|canteen,"['Greece', 'Assam', 'Iran', 'UK']","['mid', 'low', 'high', 'high']",3,D,canteen
An-ar-02,Iran,high,Where do university students have lunch in Iran?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['university dining hall', 'school cafeteria', 'restaurant', 'campus cafeterias']",university dining hall|school cafeteria|restaurant|campus cafeterias,"['Iran', 'South Korea', 'Algeria', 'Azerbaijan']","['high', 'mid', 'high', 'low']",0,A,university dining hall
An-ar-02,Greece,mid,Where do university students have lunch in Greece?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['canteen', ""school's restaurant"", 'campus cafeterias', 'school cafeteria']",canteen|school's restaurant|campus cafeterias|school cafeteria,"['UK', 'Greece', 'Azerbaijan', 'South Korea']","['high', 'mid', 'low', 'mid']",1,B,school's restaurant
An-ar-02,Northern Nigeria,low,Where do university students have lunch in Northern Nigeria?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['university cafeteria', 'hostel', 'gidajen abinci', 'canteen']",university cafeteria|hostel|gidajen abinci|canteen,"['Mexico', 'Assam', 'Northern Nigeria', 'Indonesia']","['high', 'low', 'low', 'mid']",2,C,gidajen abinci
An-ar-02,Assam,low,Where do university students have lunch in Assam?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['school cafeteria', 'restaurant', 'university cafe', 'hostel']",school cafeteria|restaurant|university cafe|hostel,"['South Korea', 'Algeria', 'Ethiopia', 'Assam']","['mid', 'high', 'low', 'low']",3,D,hostel
An-ar-02,Indonesia,mid,Where do university students have lunch in Indonesia?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['canteen', 'hostel', 'university cafeteria', ""school's restaurant""]",canteen|hostel|university cafeteria|school's restaurant,"['Indonesia', 'Assam', 'Mexico', 'Greece']","['mid', 'low', 'high', 'mid']",0,A,canteen
An-ar-02,Ethiopia,low,Where do university students have lunch in Ethiopia?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['canteen', 'university cafe', 'campus cafeterias', 'restaurant']",canteen|university cafe|campus cafeterias|restaurant,"['Indonesia', 'Ethiopia', 'Azerbaijan', 'Algeria']","['mid', 'low', 'low', 'high']",1,B,university cafe
An-ar-02,US,high,Where do university students have lunch in US?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['in bars close to the university', 'canteen', 'dining hall', 'gidajen abinci']",in bars close to the university|canteen|dining hall|gidajen abinci,"['Spain', 'Indonesia', 'US', 'Northern Nigeria']","['high', 'mid', 'high', 'low']",2,C,dining hall
An-ar-02,South Korea,mid,Where do university students have lunch in South Korea?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['restaurant', ""school's restaurant"", 'hostel', 'school cafeteria']",restaurant|school's restaurant|hostel|school cafeteria,"['Algeria', 'Greece', 'Assam', 'South Korea']","['high', 'mid', 'low', 'mid']",3,D,school cafeteria
An-ar-02,Azerbaijan,low,Where do university students have lunch in Azerbaijan?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['campus cafeterias', 'school cafeteria', 'in bars close to the university', 'gidajen abinci']",campus cafeterias|school cafeteria|in bars close to the university|gidajen abinci,"['Azerbaijan', 'South Korea', 'Spain', 'Northern Nigeria']","['low', 'mid', 'high', 'low']",0,A,campus cafeterias
An-ar-02,China,high,Where do university students have lunch in China?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['dining hall', 'university cafeteria', 'gidajen abinci', ""school's restaurant""]",dining hall|university cafeteria|gidajen abinci|school's restaurant,"['US', 'China', 'Northern Nigeria', 'Greece']","['high', 'high', 'low', 'mid']",1,B,university cafeteria
An-ar-02,Algeria,high,Where do university students have lunch in Algeria?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,"['university cafeteria', ""school's restaurant"", 'restaurant', 'campus cafeterias']",university cafeteria|school's restaurant|restaurant|campus cafeterias,"['Mexico', 'Greece', 'Algeria', 'Azerbaijan']","['high', 'mid', 'high', 'low']",2,C,restaurant
An-ar-03,Spain,high,Which month is the final exam term usually scheduled at high schools in Spain? (Provide Arabic numerals (1~12) only.),في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12),"['2', '12', 'May', '6']",2|12|May|6,"['Assam', 'South Korea', 'US', 'Spain']","['low', 'mid', 'high', 'high']",3,D,6
An-ar-03,Greece,mid,Which month is the final exam term usually scheduled at high schools in Greece? (Provide Arabic numerals (1~12) only.),في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12),"['6', '12', '3', '2']",6|12|3|2,"['Greece', 'South Korea', 'Iran', 'Assam']","['mid', 'mid', 'high', 'low']",0,A,6
An-ar-03,Assam,low,Which month is the final exam term usually scheduled at high schools in Assam? (Provide Arabic numerals (1~12) only.),في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12),"['6', '2', 'May', '12']",6|2|May|12,"['Azerbaijan', 'Assam', 'US', 'South Korea']","['low', 'low', 'high', 'mid']",1,B,2
An-ar-03,US,high,Which month is the final exam term usually scheduled at high schools in US? (Provide Arabic numerals (1~12) only.),في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12),"['5', '12', 'May', '3']",5|12|May|3,"['Northern Nigeria', 'South Korea', 'US', 'Iran']","['low', 'mid', 'high', 'high']",2,C,May
An-ar-03,Azerbaijan,low,Which month is the final exam term usually scheduled at high schools in Azerbaijan? (Provide Arabic numerals (1~12) only.),في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12),"['2', '12', 'May', '6']",2|12|May|6,"['Assam', 'South Korea', 'US', 'Azerbaijan']","['low', 'mid', 'high', 'low']",3,D,6
An-ar-03,China,high,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12),"['6', 'May', '5', '12']",6|May|5|12,"['China', 'US', 'Northern Nigeria', 'South Korea']","['high', 'high', 'low', 'mid']",0,A,6
An-ar-03,Algeria,high,Which month is the final exam term usually scheduled at high schools in Algeria? (Provide Arabic numerals (1~12) only.),في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12),"['12', '6', '5', '10']",12|6|5|10,"['South Korea', 'Algeria', 'Mexico', 'Ethiopia']","['mid', 'high', 'high', 'low']",1,B,6
An-ar-08,Iran,high,"How many hours a day do students in Iran usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",ماهو عدد الساعات التي يقضيها طلاب الثانوية  في المدرسة في الجزائر؟ (استعمل الأرقام العربية الصحيحة (0~24)، بدون أي نقاط عشرية.),"['9', '8', '7', '6']",9|8|7|6,"['China', 'South Korea', 'Iran', 'Azerbaijan']","['high', 'mid', 'high', 'low']",2,C,7
An-ar-34,Iran,high,What is the most popular sport played in a team at school in Iran?,ما هي أشهر رياضة جماعية في المدارس الجزائرية؟,"['handball', 'football', 'soccer', 'volleyball']",handball|football|soccer|volleyball,"['Algeria', 'Ethiopia', 'Greece', 'Iran']","['high', 'low', 'mid', 'high']",3,D,volleyball
An-ar-35,Mexico,high,Who is the most popular sport commentator in Mexico?,من هو أشهر معلق رياضي في الجزائر؟,"['bermudez a.k.a ""el perro""', 'george thanailakis', 'aminu halilu tudunwada', 'hafid derradji']","bermudez a.k.a ""el perro""|george thanailakis|aminu halilu tudunwada|hafid derradji","['Mexico', 'Greece', 'Northern Nigeria', 'Algeria']","['high', 'mid', 'low', 'high']",0,A,"bermudez a.k.a ""el perro"""
An-ar-35,Spain,high,Who is the most popular sport commentator in Spain?,من هو أشهر معلق رياضي في الجزائر؟,"['george thanailakis', 'jose maria garcia', 'anil sharma', 'clive tildsley']",george thanailakis|jose maria garcia|anil sharma|clive tildsley,"['Greece', 'Spain', 'Assam', 'UK']","['mid', 'high', 'low', 'high']",1,B,jose maria garcia
An-ar-35,UK,high,Who is the most popular sport commentator in UK?,من هو أشهر معلق رياضي في الجزائر؟,"['ferdowsi pour', 'aminu halilu tudunwada', 'clive tildsley', 'george thanailakis']",ferdowsi pour|aminu halilu tudunwada|clive tildsley|george thanailakis,"['Iran', 'Northern Nigeria', 'UK', 'Greece']","['high', 'low', 'high', 'mid']",2,C,clive tildsley
An-ar-35,Iran,high,Who is the most popular sport commentator in Iran?,من هو أشهر معلق رياضي في الجزائر؟,"['hafid derradji', 'valentino simanjuntak', 'ismayil abdullayev', 'ferdowsi pour']",hafid derradji|valentino simanjuntak|ismayil abdullayev|ferdowsi pour,"['Algeria', 'Indonesia', 'Azerbaijan', 'Iran']","['high', 'mid', 'low', 'high']",3,D,ferdowsi pour
An-ar-35,Greece,mid,Who is the most popular sport commentator in Greece?,من هو أشهر معلق رياضي في الجزائر؟,"['george thanailakis', 'valentino simanjuntak', 'jose maria garcia', 'anil sharma']",george thanailakis|valentino simanjuntak|jose maria garcia|anil sharma,"['Greece', 'Indonesia', 'Spain', 'Assam']","['mid', 'mid', 'high', 'low']",0,A,george thanailakis
An-ar-35,Northern Nigeria,low,Who is the most popular sport commentator in Northern Nigeria?,من هو أشهر معلق رياضي في الجزائر؟,"['huang jianxiang', 'aminu halilu tudunwada', 'ismayil abdullayev', 'sung-jae bae']",huang jianxiang|aminu halilu tudunwada|ismayil abdullayev|sung-jae bae,"['China', 'Northern Nigeria', 'Azerbaijan', 'South Korea']","['high', 'low', 'low', 'mid']",1,B,aminu halilu tudunwada
An-ar-35,Assam,low,Who is the most popular sport commentator in Assam?,من هو أشهر معلق رياضي في الجزائر؟,"['valentino simanjuntak', 'feker yilekal', 'anil sharma', 'clive tildsley']",valentino simanjuntak|feker yilekal|anil sharma|clive tildsley,"['Indonesia', 'Ethiopia', 'Assam', 'UK']","['mid', 'low', 'low', 'high']",2,C,anil sharma
An-ar-35,Indonesia,mid,Who is the most popular sport commentator in Indonesia?,من هو أشهر معلق رياضي في الجزائر؟,"['bermudez a.k.a ""el perro""', 'george thanailakis', 'anil sharma', 'valentino simanjuntak']","bermudez a.k.a ""el perro""|george thanailakis|anil sharma|valentino simanjuntak","['Mexico', 'Greece', 'Assam', 'Indonesia']","['high', 'mid', 'low', 'mid']",3,D,valentino simanjuntak
An-ar-35,Ethiopia,low,Who is the most popular sport commentator in Ethiopia?,من هو أشهر معلق رياضي في الجزائر؟,"['feker yilekal', 'clive tildsley', 'anil sharma', 'sung-jae bae']",feker yilekal|clive tildsley|anil sharma|sung-jae bae,"['Ethiopia', 'UK', 'Assam', 'South Korea']","['low', 'high', 'low', 'mid']",0,A,feker yilekal
An-ar-35,US,high,Who is the most popular sport commentator in US?,من هو أشهر معلق رياضي في الجزائر؟,"['sung-jae bae', 'Jim Nantz', 'ferdowsi pour', 'ismayil abdullayev']",sung-jae bae|Jim Nantz|ferdowsi pour|ismayil abdullayev,"['South Korea', 'US', 'Iran', 'Azerbaijan']","['mid', 'high', 'high', 'low']",1,B,Jim Nantz
An-ar-35,South Korea,mid,Who is the most popular sport commentator in South Korea?,من هو أشهر معلق رياضي في الجزائر؟,"['valentino simanjuntak', 'clive tildsley', 'sung-jae bae', 'feker yilekal']",valentino simanjuntak|clive tildsley|sung-jae bae|feker yilekal,"['Indonesia', 'UK', 'South Korea', 'Ethiopia']","['mid', 'high', 'mid', 'low']",2,C,sung-jae bae
An-ar-35,Azerbaijan,low,Who is the most popular sport commentator in Azerbaijan?,من هو أشهر معلق رياضي في الجزائر؟,"['valentino simanjuntak', 'anil sharma', 'bermudez a.k.a ""el perro""', 'ismayil abdullayev']","valentino simanjuntak|anil sharma|bermudez a.k.a ""el perro""|ismayil abdullayev","['Indonesia', 'Assam', 'Mexico', 'Azerbaijan']","['mid', 'low', 'high', 'low']",3,D,ismayil abdullayev
An-ar-35,China,high,Who is the most popular sport commentator in China?,من هو أشهر معلق رياضي في الجزائر؟,"['huang jianxiang', 'valentino simanjuntak', 'aminu halilu tudunwada', 'bermudez a.k.a ""el perro""']","huang jianxiang|valentino simanjuntak|aminu halilu tudunwada|bermudez a.k.a ""el perro""","['China', 'Indonesia', 'Northern Nigeria', 'Mexico']","['high', 'mid', 'low', 'high']",0,A,huang jianxiang
An-ar-35,Algeria,high,Who is the most popular sport commentator in Algeria?,من هو أشهر معلق رياضي في الجزائر؟,"['sung-jae bae', 'hafid derradji', 'ismayil abdullayev', 'huang jianxiang']",sung-jae bae|hafid derradji|ismayil abdullayev|huang jianxiang,"['South Korea', 'Algeria', 'Azerbaijan', 'China']","['mid', 'high', 'low', 'high']",1,B,hafid derradji
An-ar-36,Mexico,high,What is the most popular sport team in Mexico?,ما هو أشهر فريق رياضي في الجزائر؟,"['cricket team', 'olympiacos', 'club america', 'Yankees']",cricket team|olympiacos|club america|Yankees,"['Assam', 'Greece', 'Mexico', 'US']","['low', 'mid', 'high', 'high']",2,C,club america
An-ar-36,Spain,high,What is the most popular sport team in Spain?,ما هو أشهر فريق رياضي في الجزائر؟,"['mca', 'olympiacos', 'ethiopian coffee sport club', 'real madrid']",mca|olympiacos|ethiopian coffee sport club|real madrid,"['Algeria', 'Greece', 'Ethiopia', 'Spain']","['high', 'mid', 'low', 'high']",3,D,real madrid
An-ar-36,UK,high,What is the most popular sport team in UK?,ما هو أشهر فريق رياضي في الجزائر؟,"['manchester united', 'lg twins', 'real madrid', 'qarabag fk']",manchester united|lg twins|real madrid|qarabag fk,"['UK', 'South Korea', 'Spain', 'Azerbaijan']","['high', 'mid', 'high', 'low']",0,A,manchester united
An-ar-36,Iran,high,What is the most popular sport team in Iran?,ما هو أشهر فريق رياضي في الجزائر؟,"['persija', 'esteghlal', 'real madrid', 'ethiopian coffee sport club']",persija|esteghlal|real madrid|ethiopian coffee sport club,"['Indonesia', 'Iran', 'Spain', 'Ethiopia']","['mid', 'high', 'high', 'low']",1,B,esteghlal
An-ar-36,Greece,mid,What is the most popular sport team in Greece?,ما هو أشهر فريق رياضي في الجزائر؟,"['qarabag fk', 'real madrid', 'olympiacos', 'lg twins']",qarabag fk|real madrid|olympiacos|lg twins,"['Azerbaijan', 'Spain', 'Greece', 'South Korea']","['low', 'high', 'mid', 'mid']",2,C,olympiacos
An-ar-36,Northern Nigeria,low,What is the most popular sport team in Northern Nigeria?,ما هو أشهر فريق رياضي في الجزائر؟,"['cricket team', 'Yankees', 'lg twins', 'kano pillars']",cricket team|Yankees|lg twins|kano pillars,"['Assam', 'US', 'South Korea', 'Northern Nigeria']","['low', 'high', 'mid', 'low']",3,D,kano pillars
An-ar-36,Assam,low,What is the most popular sport team in Assam?,ما هو أشهر فريق رياضي في الجزائر؟,"['cricket team', 'esteghlal', 'ethiopian coffee sport club', 'lg twins']",cricket team|esteghlal|ethiopian coffee sport club|lg twins,"['Assam', 'Iran', 'Ethiopia', 'South Korea']","['low', 'high', 'low', 'mid']",0,A,cricket team
An-ar-36,Indonesia,mid,What is the most popular sport team in Indonesia?,ما هو أشهر فريق رياضي في الجزائر؟,"['real madrid', 'persija', 'lg twins', 'qarabag fk']",real madrid|persija|lg twins|qarabag fk,"['Spain', 'Indonesia', 'South Korea', 'Azerbaijan']","['high', 'mid', 'mid', 'low']",1,B,persija
An-ar-36,Ethiopia,low,What is the most popular sport team in Ethiopia?,ما هو أشهر فريق رياضي في الجزائر؟,"['olympiacos', 'table tennis team', 'ethiopian coffee sport club', 'cricket team']",olympiacos|table tennis team|ethiopian coffee sport club|cricket team,"['Greece', 'China', 'Ethiopia', 'Assam']","['mid', 'high', 'low', 'low']",2,C,ethiopian coffee sport club
An-ar-36,US,high,What is the most popular sport team in US?,ما هو أشهر فريق رياضي في الجزائر؟,"['table tennis team', 'lg twins', 'cricket team', 'Yankees']",table tennis team|lg twins|cricket team|Yankees,"['China', 'South Korea', 'Assam', 'US']","['high', 'mid', 'low', 'high']",3,D,Yankees
An-ar-36,South Korea,mid,What is the most popular sport team in South Korea?,ما هو أشهر فريق رياضي في الجزائر؟,"['lg twins', 'real madrid', 'persija', 'qarabag fk']",lg twins|real madrid|persija|qarabag fk,"['South Korea', 'Spain', 'Indonesia', 'Azerbaijan']","['mid', 'high', 'mid', 'low']",0,A,lg twins
An-ar-36,Azerbaijan,low,What is the most popular sport team in Azerbaijan?,ما هو أشهر فريق رياضي في الجزائر؟,"['ethiopian coffee sport club', 'qarabag fk', 'persija', 'mca']",ethiopian coffee sport club|qarabag fk|persija|mca,"['Ethiopia', 'Azerbaijan', 'Indonesia', 'Algeria']","['low', 'low', 'mid', 'high']",1,B,qarabag fk
An-ar-36,China,high,What is the most popular sport team in China?,ما هو أشهر فريق رياضي في الجزائر؟,"['olympiacos', 'ethiopian coffee sport club', 'table tennis team', 'manchester united']",olympiacos|ethiopian coffee sport club|table tennis team|manchester united,"['Greece', 'Ethiopia', 'China', 'UK']","['mid', 'low', 'high', 'high']",2,C,table tennis team
