ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
New-en-08,Greece,Europe,What is the most popular chocolate brand in Greece?,Ποια είναι η πιο δημοφιλής μάρκα σοκολάτας στην Ελλάδα;,D,"['silver queen', 'nestlé', 'ghana', 'lacta']","['silver queen', 'Nestlé', '가나', 'Lacta']","['Indonesia', 'Spain', 'South_Korea', 'Greece']","['South Asia', 'Europe', 'East Asia', 'Europe']",3,lacta
New-en-10,Greece,Europe,What is the most eaten cheese in Greece?,Ποιο είναι το πιο δημοφιλές τυρί στην Ελλάδα;,A,"['feta', 'cheddar', 'amul', 'mozzarella']","['φέτα', 'cheddar', 'আমূল', '马苏里拉']","['Greece', 'UK', 'Assam', 'China']","['Europe', 'Europe', 'South Asia', 'East Asia']",0,feta
New-en-11,Greece,Europe,What is the most disliked vegetable in Greece?,Ποιο είναι το πιο αντιπαθητικό λαχανικό στην Ελλάδα;,B,"['broccoli', 'okra', 'sprouts', 'bean sprouts']","['brokoli', 'μπάμιες', 'sprouts', '豆芽']","['Indonesia', 'Greece', 'UK', 'China']","['South Asia', 'Europe', 'Europe', 'East Asia']",1,okra
New-en-12,Greece,Europe,What food is most commonly found in food courts in Greece?,Ποιο φαγητό βρίσκεται πιο συχνά στα εμπορικά κέντρα στην Ελλάδα;,C,"['pork cutlet', 'chinese food', 'pizza', 'chips']","['돈까스', 'চীনা খাদ্য', 'πίτσα', 'chips']","['South_Korea', 'Assam', 'Greece', 'UK']","['East Asia', 'South Asia', 'Europe', 'Europe']",2,pizza
New-en-17,Greece,Europe,What are the most common cheering tools used by sports fans in Greece?,Ποιοι είναι οι πιο συνηθισμένοι τρόποι ενθάρρυνσης που χρησιμοποιούν οι φίλαθλοι στην Ελλάδα;,D,"['banners', 'banner', 'thundersticks', 'chant']","['banners', 'spanduk', '막대풍선', 'σύνθημα']","['UK', 'Indonesia', 'South_Korea', 'Greece']","['Europe', 'South Asia', 'East Asia', 'Europe']",3,chant
New-en-19,Greece,Europe,What is the most well known sporting stadium in Greece?,Ποιο είναι το πιο γνωστό αθλητικό στάδιο στην Ελλάδα;,A,"['olympic stadium athens', 'tofiq bahramov stadium', 'beijing workers stadium', 'bernabéu']","['ολυμπιακό στάδιο αθηνών', 'tofiq bəhramov adına futbol stadionu', '北京工人体育馆', 'Bernabeu']","['Greece', 'Azerbaijan', 'China', 'Spain']","['Europe', 'Western Asia', 'East Asia', 'Europe']",0,olympic stadium athens
New-en-23,Greece,Europe,Who is the most famous Paralympian in Greece?,Ποιος είναι ο πιο διάσημος Παραολυμπιονίκης στην Ελλάδα;,B,"['morteza mehrzad', 'charalambos taiganidis', 'hou bin', 'teresa perales']","['مرتضی مهرزاد', 'Χαράλαμπος Ταϊγανίδης', '侯斌', 'Teresa Perales']","['Iran', 'Greece', 'China', 'Spain']","['Western Asia', 'Europe', 'East Asia', 'Europe']",1,charalambos taiganidis
New-en-26,Greece,Europe,What is the best recognized sporting chant in Greece?,Ποιο είναι το πιο αναγνωρίσιμο αθλητικό σύνθημα στην Ελλάδα;,C,"['our marshal', 'oe', 'you are something magical in the mind', 'the great republic of korea']","['marşalımız', 'oe', 'είσαι στο μυαλό κάτι μαγικό', '대~한민국 짝짝짝짝짝']","['Azerbaijan', 'Spain', 'Greece', 'South_Korea']","['Western Asia', 'Europe', 'Europe', 'East Asia']",2,you are something magical in the mind
New-en-38,Greece,Europe,Which industries are known for more flexible working hours in Greece?,Ποιοι κλάδοι είναι γνωστοί για πιο ευέλικτα ωράρια εργασίας στην Ελλάδα;,D,"['freelance job', 'it', 'energy', 'sellers']","['شغل آزاد', 'it', 'energéticas', 'πωλητές']","['Iran', 'South_Korea', 'Spain', 'Greece']","['Western Asia', 'East Asia', 'Europe', 'Europe']",3,sellers
New-en-41,Greece,Europe,Who is the most well known and successful entrepreneur in Greece?,Ποιος είναι ο πιο γνωστός και επιτυχημένος επιχειρηματίας στην Ελλάδα;,A,"['marinakis', 'Alan Sugar', 'jack ma', 'mübariz mansimov']","['Μαρινάκης', 'Alan Sugar', '马云', 'mübariz mənsimov']","['Greece', 'UK', 'China', 'Azerbaijan']","['Europe', 'Europe', 'East Asia', 'Western Asia']",0,marinakis
New-en-47,Greece,Europe,What can typically be found in the back garden of houses in Greece?,Τι συνήθως βρίσκεται στον πίσω κήπο των σπιτιών στην Ελλάδα;,B,"['vegetable planting area', 'flower beds', 'fruit tree', 'lawn']","['菜地', 'μπαχτσές', 'درخت میوه', 'lawn']","['China', 'Greece', 'Iran', 'UK']","['East Asia', 'Europe', 'Western Asia', 'Europe']",1,flower beds
New-en-49,Greece,Europe,What is the name of the most famous family in Greece?,Ποιο είναι το όνομα της πιο διάσημης οικογένειας στην Ελλάδα;,C,"['jeonju yi clan', 'the royal family', 'onassis', 'pashayevs']","['전주 이씨', 'the royal family', 'Ωνάση', 'paşayevlər']","['South_Korea', 'UK', 'Greece', 'Azerbaijan']","['East Asia', 'Europe', 'Europe', 'Western Asia']",2,onassis
New-en-50,Greece,Europe,What is the most common family name in Greece?,Ποιο είναι το πιο συνηθισμένο επώνυμο στην Ελλάδα;,D,"['lee', 'smith', 'mohammadi', 'papadopoulos']","['이씨', 'smith', 'محمدی', 'Παπαδόπουλος']","['South_Korea', 'UK', 'Iran', 'Greece']","['East Asia', 'Europe', 'Western Asia', 'Europe']",3,papadopoulos
New-en-55,Greece,Europe,Which religion is most commonly practiced by families in Greece?,Ποια θρησκεία ασκείται πιο συχνά από τις οικογένειες στην Ελλάδα;,A,"['orthodox christian faith', 'catholic', 'hindu religion', 'catholicism']","['Ορθόδοξη Χριστιανική πίστη', 'católica', 'হিন্দু ধৰ্ম', 'catolicismo']","['Greece', 'Mexico', 'Assam', 'Spain']","['Europe', 'North America', 'South Asia', 'Europe']",0,orthodox christian faith
New-en-59,Greece,Europe,Which country is the most popular destination for families from Greece to emigrate to?,Ποια χώρα είναι ο πιο δημοφιλής προορισμός για τις οικογένειες από την Ελλάδα για να μεταναστεύσουν;,B,"['united kingdom', 'germany', 'united states', 'singapore']","['Reino Unido', 'Γερμανία', 'Estados Unidos', 'singapura']","['Spain', 'Greece', 'Mexico', 'Indonesia']","['Europe', 'Europe', 'North America', 'South Asia']",1,germany
New-en-68,Greece,Europe,What repercussions are there for bad behavior in schools in Greece?,Ποιες είναι οι συνέπειες για την κακή συμπεριφορά στα σχολεία στην Ελλάδα;,C,"['expulsion', 'disciplinary punishment', 'expulsion from class', 'detention']","['expulsión', 'শিক্ষকে উচিত বিচাৰ কৰি শাস্তি দিব পাৰে', 'αποβολή από την τάξη', 'detention']","['Spain', 'Assam', 'Greece', 'US']","['Europe', 'South Asia', 'Europe', 'North America']",2,expulsion from class
New-en-69,Greece,Europe,Which writers are commonly studied in literature class in Greece?,Ποιοι συγγραφείς μελετώνται συνήθως στο μάθημα λογοτεχνίας στην Ελλάδα;,D,"['cervantes', 'chairil anwar', 'edgar allen poe', 'papadiamantis']","['Cervantes', 'chairil anwar', 'edgar allen poe', 'Παπαδιαμάντης']","['Spain', 'Indonesia', 'US', 'Greece']","['Europe', 'South Asia', 'North America', 'Europe']",3,papadiamantis
New-en-70,Greece,Europe,"How many school breaks are there in a year for high schools in Greece? (Provide Arabic numerals (e.g., 1) only.)","Πόσα διαλείμματα υπάρχουν σε ένα έτος για τα λύκεια στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 1).)",A,"['3', '2', '6', '12']","['3', '2', '6', '12']","['Greece', 'Mexico', 'UK', 'Assam']","['Europe', 'North America', 'Europe', 'South Asia']",0,3
New-en-75,Greece,Europe,"What is the average length of a semester in terms of weeks of teaching at universities in Greece? (Provide Arabic numerals (e.g., 1) only.)","Ποια είναι η μέση διάρκεια ενός εξαμήνου σε εβδομάδες διδασκαλίας στα πανεπιστήμια της Ελλάδας; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 1).)",B,"['24', '15', '12', '20']","['24', '15', '12', '20']","['Mexico', 'Greece', 'UK', 'Indonesia']","['North America', 'Europe', 'Europe', 'South Asia']",1,15
New-en-76,Greece,Europe,Which airport in Greece is the busiest during the holiday season?,Ποιο αεροδρόμιο στην Ελλάδα είναι το πιο πολυσύχναστο κατά τη διάρκεια της εορταστικής περιόδου;,C,"['jackson international airport (atl)', 'lokpriya gopinath bordoloi international airport', 'eleftherios venizelos', 'heathrow']","['jackson international airport (atl)', 'লোকপ্ৰিয় গোপীনাথ বৰদলৈ আন্তৰ্জাতিক বিমানবন্দৰ', 'Eλευθέριος Bενιζέλος', 'heathrow']","['US', 'Assam', 'Greece', 'UK']","['North America', 'South Asia', 'Europe', 'Europe']",2,eleftherios venizelos
New-en-79,Greece,Europe,Which region of Greece is well known for its theatrical performances?,Ποια περιοχή της Ελλάδας είναι γνωστή για τις θεατρικές της παραστάσεις;,D,"['jakarta', 'london', 'new york city', 'athens']","['jakarta', 'london', 'new york city', 'Αθήνα']","['Indonesia', 'UK', 'US', 'Greece']","['South Asia', 'Europe', 'North America', 'Europe']",3,athens
New-en-87,Greece,Europe,What is the most famous historic landmark in Greece?,Ποιο είναι το πιο διάσημο ιστορικό ορόσημο στην Ελλάδα;,A,"['1821', 'the alhambra', 'maiden tower', 'angel of independence']","['1821', 'La Alhambra', 'qız qalası', 'ángel de la independencia']","['Greece', 'Spain', 'Azerbaijan', 'Mexico']","['Europe', 'Europe', 'Western Asia', 'North America']",0,1821
New-en-90,Greece,Europe,What is the most famous hotel brand in Greece?,Ποια είναι η πιο διάσημη αλυσίδα ξενοδοχείων στην Ελλάδα;,B,"['espinas palace', 'hilton', 'nh', 'camino real']","['اسپیناس پالاس', 'Χίλτον', 'NH', 'camino real']","['Iran', 'Greece', 'Spain', 'Mexico']","['Western Asia', 'Europe', 'Europe', 'North America']",1,hilton
New-gr-15,Greece,Europe,What is the most popular traditional dessert in Greece?,Ποιο είναι το πιο δημοφιλές παραδοσιακό γλυκό στην Ελλάδα;,C,"['pumpkin pie', 'dessert made of filo pastry sheets', 'galaktoboureko', 'rice pudding']","['pumpkin pie', 'paxlava', 'γαλακτομπούρεκο', 'arroz con leche']","['US', 'Azerbaijan', 'Greece', 'Spain']","['North America', 'Western Asia', 'Europe', 'Europe']",2,galaktoboureko
New-gr-24,Greece,Europe,What is the most popular track and field sport in Greece?,Ποιο είναι το πιο δημοφιλές άθλημα στίβου στην Ελλάδα;,D,"['discus throw', 'sprint', 'gear/march', 'long jump']","['پرتاب دیسک', 'sprint', 'marcha', 'αλμα εις μηκος']","['Iran', 'US', 'Spain', 'Greece']","['Western Asia', 'North America', 'Europe', 'Europe']",3,long jump
New-gr-29,Greece,Europe,Which international sporting event is the most popular in Greece?,Ποια διεθνής αθλητική εκδήλωση είναι η πιο δημοφιλής στην Ελλάδα;,A,"['olympic games', 'football world cup', 'olympics', 'azerbaijan grand prix']","['Ολυμπιακοί Αγώνες', 'mundial de fútbol', 'olympics', 'formula 1 baki qran-prisi']","['Greece', 'Mexico', 'UK', 'Azerbaijan']","['Europe', 'North America', 'Europe', 'Western Asia']",0,olympic games
New-gr-58,Greece,Europe,Which job is considered underpaid in Greece?,Ποια εργασία θεωρείται κακοπληρωμένη στην Ελλάδα;,B,"['teaching', 'waiter', 'labor', 'care workers']","['docencia', 'σερβιτόρος', 'کارگری', 'care workers']","['Mexico', 'Greece', 'Iran', 'UK']","['North America', 'Europe', 'Western Asia', 'Europe']",1,waiter
New-gr-76,Greece,Europe,What is the most common food served during Easter in Greece?,Ποιο είναι το πιο συνηθισμένο φαγητό που σερβίρεται το Πάσχα στην Ελλάδα;,C,"['kulich', 'roast lamb', 'lamb on the spit', 'ham']","['kuliç', 'roast lamb', 'αρνάκι σούβλα', 'ham']","['Azerbaijan', 'UK', 'Greece', 'US']","['Western Asia', 'Europe', 'Europe', 'North America']",2,lamb on the spit
New-gr-82,Greece,Europe,What is the most popular music genre among the elderly population in Greece?,Ποιο είναι το πιο δημοφιλές είδος μουσικής μεταξύ του ηλικιωμένου πληθυσμού στην Ελλάδα;,D,"['traditional', 'country', 'classical', 'laiko']","['سنتي', 'country', 'classical', 'λαική']","['Iran', 'US', 'UK', 'Greece']","['Western Asia', 'North America', 'Europe', 'Europe']",3,laiko
New-ha-07,Greece,Europe,What food originated from Greece and can be found all over the world?,Ποιο φαγητό έχει καταγωγή από την Ελλάδα και μπορεί να βρεθεί παντού στον κόσμο;,A,"['souvlaki', 'tea', 'spanish omelette', 'dolma']","['σουβλάκι', 'চাহ', 'tortilla de patatas', 'dolma']","['Greece', 'Assam', 'Spain', 'Azerbaijan']","['Europe', 'South Asia', 'Europe', 'Western Asia']",0,souvlaki
New-ha-08,Greece,Europe,What food is typically disliked by children but enjoyed by the elderly in Greece?,Ποιο φαγητό συνήθως δεν αρέσει στα παιδιά αλλά το απολαμβάνουν οι ηλικιωμένοι στην Ελλάδα;,B,"['rice flour', 'chickpeas', 'cauliflower', 'abgoosht']","['পিঠাগুৰি', 'ρεβύθια', 'coliflor', 'آبگوشت']","['Assam', 'Greece', 'Spain', 'Iran']","['South Asia', 'Europe', 'Europe', 'Western Asia']",1,chickpeas
New-ha-09,Greece,Europe,What cooking utensil is most commonly used in Greece?,Ποιο μαγειρικό σκεύος χρησιμοποιείται πιο συχνά στην Ελλάδα;,C,"['spoon', 'frying pan', 'pot', 'plate']","['cuchara', 'wajan', 'κατσαρολα', 'boşqab']","['Spain', 'Indonesia', 'Greece', 'Azerbaijan']","['Europe', 'South Asia', 'Europe', 'Western Asia']",2,pot
New-ha-66,Greece,Europe,What is the most popular wedding venue in Greece?,Ποιος είναι ο πιο δημοφιλής χώρος για γάμο στην Ελλάδα;,D,"['wedding hall', 'mosque', 'churches', 'church']","['سالن عروسی', 'masjid', 'iglesias', 'εκκλησία']","['Iran', 'Indonesia', 'Spain', 'Greece']","['Western Asia', 'South Asia', 'Europe', 'Europe']",3,church
New-in-01,Greece,Europe,Which coffee shop brand is the most popular in Greece?,Ποια αλυσίδα καφετεριών είναι η πιο δημοφιλής στην Ελλάδα;,A,"['coffee island', 'nescafe', 'costa', 'starbucks']","['Coffee Island', 'নেচকেফে', 'costa', 'starbucks']","['Greece', 'Assam', 'UK', 'Azerbaijan']","['Europe', 'South Asia', 'Europe', 'Western Asia']",0,coffee island
New-in-03,Greece,Europe,What type of food from Greece is typically served in restaurants overseas?,Ποιο είδος φαγητού από την Ελλάδα συνήθως σερβίρεται σε εστιατόρια στο εξωτερικό;,B,"['fish & chips', 'moussaka', 'tea leaf', 'kebab']","['fish & chips', 'μουσακάς', 'চাহপাত', 'کباب']","['UK', 'Greece', 'Assam', 'Iran']","['Europe', 'Europe', 'South Asia', 'Western Asia']",1,moussaka
New-in-33,Greece,Europe,What region in Greece is usually associated with mining?,Ποια περιοχή στην Ελλάδα συνδέεται συνήθως με την εξόρυξη;,C,"['kalbajar', 'papua', 'halkidiki', 'yorkshire']","['kəlbəcər', 'papua', 'Χαλκιδική', 'yorkshire']","['Azerbaijan', 'Indonesia', 'Greece', 'UK']","['Western Asia', 'South Asia', 'Europe', 'Europe']",2,halkidiki
New-in-34,Greece,Europe,What region in Greece is usually associated with oil?,Ποια περιοχή στην Ελλάδα συνδέεται συνήθως με το πετρέλαιο;,D,"['scotland', 'papua', 'south', 'thasos']","['scotland', 'papua', 'جنوب', 'Θάσος']","['UK', 'Indonesia', 'Iran', 'Greece']","['Europe', 'South Asia', 'Western Asia', 'Europe']",3,thasos
New-in-62,Greece,Europe,What university in Greece is popular because of its engineering major? (Provide the official name.),Ποιο πανεπιστήμιο στην Ελλάδα είναι δημοφιλές λόγω του τμήματος μηχανικών του; (Δώστε το επίσημο όνομα.),A,"['national technical university of athens', 'higher school of engineering', 'tsinghua university', 'polytechnic university of madrid']","['Εθνικό Μετσόβιο Πολυτεχνείο', 'المدرسة الوطنية المتعددة التقنيات', '清华大学', 'Universidad Politécnica de Madrid']","['Greece', 'Algeria', 'China', 'Spain']","['Europe', 'Africa', 'East Asia', 'Europe']",0,national technical university of athens
New-in-63,Greece,Europe,What university in Greece is popular because of its school of medicine? (Provide the official name.),Ποιο πανεπιστήμιο στην Ελλάδα είναι δημοφιλές λόγω της ιατρικής σχολής του; (Δώστε το επίσημο όνομα.),B,"['algiers faculty of medicine', 'aristotelian', 'university of barcelona', 'snu']","['كلية الطب الزيانية', 'Αριστοτέλειο', 'Universidad de Barcelona', '서울대학교']","['Algeria', 'Greece', 'Spain', 'South_Korea']","['Africa', 'Europe', 'Europe', 'East Asia']",1,aristotelian
New-in-80,Greece,Europe,What is the most famous theme park in Greece?,Ποιο είναι το πιο διάσημο θεματικό πάρκο στην Ελλάδα;,C,"['disney world', 'entoto', 'mia fora ki enan kairo', 'portaventura']","['迪士尼世界', 'እንጦጦ', 'Μια φορά κι έναν καιρό', 'PortAventura']","['China', 'Ethiopia', 'Greece', 'Spain']","['East Asia', 'Africa', 'Europe', 'Europe']",2,mia fora ki enan kairo
New-ko-01,Greece,Europe,What is the most popular children's animation that is commonly watched by kids in Greece?,Ποιο είναι το πιο δημοφιλές παιδικό κινούμενο σχέδιο που παρακολουθούν συνήθως τα παιδιά στην Ελλάδα;,D,"['ethiopia children', 'pororo', 'paw patrol', 'peppa pig']","['የኢትዮጵያ ልጆች', '뽀로로', 'Patrulla Canina', 'Πέππα το γουρουνάκι']","['Ethiopia', 'South_Korea', 'Spain', 'Greece']","['Africa', 'East Asia', 'Europe', 'Europe']",3,peppa pig
New-ko-02,Greece,Europe,What is the most popular prenatal education activity for pregnant women in Greece?,Ποια είναι η πιο δημοφιλής δραστηριότητα προγεννητικής εκπαίδευσης για έγκυες γυναίκες στην Ελλάδα;,A,"['painless childbirth classes', 'pilates', ""nurse's quarters"", 'listen to music']","['μαθήματα ανώδυνου τοκετού', 'pilates', 'unguwar zoma', '听音乐']","['Greece', 'Spain', 'Northern_Nigeria', 'China']","['Europe', 'Europe', 'Africa', 'East Asia']",0,painless childbirth classes
New-ko-04,Greece,Europe,Which toys are most popular among boys in Greece?,Ποια παιχνίδια είναι τα πιο δημοφιλή ανάμεσα στα αγόρια στην Ελλάδα;,B,"['ball', 'soccer', 'barbecue', 'robot']","['kwallo', 'ποδόσφαιρο', 'Barbie', '로봇']","['Northern_Nigeria', 'Greece', 'Spain', 'South_Korea']","['Africa', 'Europe', 'Europe', 'East Asia']",1,soccer
New-ko-06,Greece,Europe,What is the most popular folk tale in Greece that is typically told to children?,Ποιο είναι το πιο δημοφιλές παραμύθι στην Ελλάδα που συνήθως λέγεται στα παιδιά;,C,"['juha stories', 'tooth fairy', 'little red riding hood', 'journey to the west']","['قصص جحا', 'tooth fairy', 'κοκκινοσκουφίτσα', '西游记']","['Algeria', 'UK', 'Greece', 'China']","['Africa', 'Europe', 'Europe', 'East Asia']",2,little red riding hood
New-ko-07,Greece,Europe,What is the customary symbol of condolence used at funerals in Greece?,Ποιο είναι το συνηθισμένο σύμβολο του πένθους που χρησιμοποιείται στις κηδείες στην Ελλάδα;,D,"['chrysanthemum', 'black clothing', 'prayer', 'black clothes']","['국화꽃', 'black clothing', 'الدعاء', 'μαύρα ρούχα']","['South_Korea', 'UK', 'Algeria', 'Greece']","['East Asia', 'Europe', 'Africa', 'Europe']",3,black clothes
New-ko-08,Greece,Europe,Where do university students in Greece tend to work part-time the most?,Πού συνήθως δουλεύουν μερική απασχόληση οι φοιτητές των πανεπιστημίων στην Ελλάδα;,A,"['cafes', 'restaurant', 'online', 'waiting']","['καφετέριες', '餐厅', 'የኦንላይን', 'waiting']","['Greece', 'China', 'Ethiopia', 'UK']","['Europe', 'East Asia', 'Africa', 'Europe']",0,cafes
New-ko-10,Greece,Europe,What are the most common activities people do as a side job in Greece?,Ποιες είναι οι πιο συνηθισμένες δραστηριότητες που κάνουν οι άνθρωποι ως δευτερεύουσα απασχόληση στην Ελλάδα;,B,"['commerce', 'fishing', 'designated driver', 'taxi driver']","['ንግድ', 'ψάρεμα', '대리운전', 'taxi driver']","['Ethiopia', 'Greece', 'South_Korea', 'UK']","['Africa', 'Europe', 'East Asia', 'Europe']",1,fishing
New-pe-02,Greece,Europe,What is the most famous edible souvenir for tourists in Greece?,Ποιο είναι το πιο διάσημο βρώσιμο (φαγήτο) αναμνηστικό για τους τουρίστες στην Ελλάδα;,C,"['peking duck', 'spicy skewered meat', 'souvlaki', 'rock candy']","['北京烤鸭', 'suya', 'σουβλάκι', 'rock candy']","['China', 'Northern_Nigeria', 'Greece', 'UK']","['East Asia', 'Africa', 'Europe', 'Europe']",2,souvlaki
New-pe-06,Greece,Europe,What is the most popular stew in Greece?,Ποιό είναι το πιο δημοφιλές στιφάδο στην Ελλάδα;,D,"['kimchi-jjigae', 'beef', 'taushe sauce', 'hare']","['김치찌개', 'beef', 'taushe', 'λαγός']","['South_Korea', 'UK', 'Northern_Nigeria', 'Greece']","['East Asia', 'Europe', 'Africa', 'Europe']",3,hare
New-pe-11,Greece,Europe,What is the most common spice/herb used in dishes from Greece?,Ποιο είναι το πιο συνηθισμένο μπαχαρικό/βότανο που χρησιμοποιείται στα πιάτα από την Ελλάδα;,A,"['oregano', 'parsley', 'wormseed', 'black pepper']","['ρίγανη', 'perejil', 'epazote', 'فلفل اسود']","['Greece', 'Spain', 'Mexico', 'Algeria']","['Europe', 'Europe', 'North America', 'Africa']",0,oregano
New-pe-16,Greece,Europe,What is the most famous traditional sport in Greece?,Ποιο είναι το πιο διάσημο παραδοσιακό άθλημα στην Ελλάδα;,B,"['basque ball', 'soccer', 'american football', 'ball']","['pelota vasca', 'ποδόσφαιρο', 'american football', 'كرة القدم']","['Spain', 'Greece', 'US', 'Algeria']","['Europe', 'Europe', 'North America', 'Africa']",1,soccer
New-pe-47,Greece,Europe,"When is Student's Day celebrated in Greece? (Provide in MM/DD format (e.g., 12/31).)","Πότε γιορτάζεται η Ημέρα του Φοιτητή στην Ελλάδα; (Απαντήστε σε μορφή ΜΜ/ΗΗ π.χ., 12/31).",C,"['05/23', '04/21', '11/17', 'june 30']","['05/23', '04/21', '11/17', '10/30']","['Mexico', 'Spain', 'Greece', 'Ethiopia']","['North America', 'Europe', 'Europe', 'Africa']",2,11/17
New-pe-53,Greece,Europe,What gifts do fathers get on Father's Day (or Parents' Day) in Greece?,Τι δώρα λαμβάνουν οι πατέρες στην Ημέρα του Πατέρα (ή Ημέρα των Γονέων) στην Ελλάδα;,D,"['a drawing', 'tools', 'clothes', 'nothing']","['un dibujo', 'tools', 'ልብስ', 'τιποτα']","['Spain', 'US', 'Ethiopia', 'Greece']","['Europe', 'North America', 'Africa', 'Europe']",3,nothing
New-pe-74,Greece,Europe,How much is the average annual tuition fee for public universities in Greece?,Πόσο είναι το μέσο ετήσιο δίδακτρο για τα δημόσια πανεπιστήμια στην Ελλάδα;,A,"['0', 'check fifty', '0.5 mexican pesos', '800']","['0', 'duba hamsin', '0.5 mxn', '800']","['Greece', 'Northern_Nigeria', 'Mexico', 'Spain']","['Europe', 'Africa', 'North America', 'Europe']",0,0
New-pe-76,Greece,Europe,What is a popular activity to do in parks in Greece?,Ποια είναι μια δημοφιλής δραστηριότητα στα πάρκα στην Ελλάδα;,B,"['riding a bicycle', 'picnic', 'picnicking', 'to run']","['hawa lilo', 'πικνίκ', 'picnicking', 'correr']","['Northern_Nigeria', 'Greece', 'US', 'Spain']","['Africa', 'Europe', 'North America', 'Europe']",1,picnic
New-pe-78,Greece,Europe,What is the name of the most famous film festival held in Greece?,Ποιο είναι το όνομα του πιο διάσημου φεστιβάλ ταινιών που διεξάγεται στην Ελλάδα;,C,"['BAFTA Film Awards', 'morelia film festival', 'of thessaloniki', 'oran']","['BAFTA Film Awards', 'festival de cine morelia', 'Θεσσαλονίκης', 'المهرجان الدولي للفيلم العربي,مهرجان وهران الدولي للفيلم العربي']","['UK', 'Mexico', 'Greece', 'Algeria']","['Europe', 'North America', 'Europe', 'Africa']",2,of thessaloniki
New-pe-85,Greece,Europe,Where is the most popular tourist destination abroad for people from Greece?,Πού βρίσκεται ο πιο δημοφιλής τουριστικός προορισμός στο εξωτερικό για τους Έλληνες;,D,"['tunisia', 'spain', 'mexico', 'london']","['تونس', 'spain', 'mexico', 'Λονδίνο']","['Algeria', 'UK', 'US', 'Greece']","['Africa', 'Europe', 'North America', 'Europe']",3,london
New-pe-86,Greece,Europe,What is the name of the most famous tower in Greece?,Ποιο είναι το όνομα του πιο διάσημου πύργου στην Ελλάδα;,A,"['white', 'tower of london', 'fasil barrage', 'latin american tower']","['λευκός', 'tower of london', 'የፋሲል ግንብ', 'torre latinoamericana']","['Greece', 'UK', 'Ethiopia', 'Mexico']","['Europe', 'Europe', 'Africa', 'North America']",0,white
New-spme-04,Greece,Europe,Which agricultural product is exported most often in Greece?,Ποιο γεωργικό προϊόν εξάγεται πιο συχνά από την Ελλάδα;,B,"['rapeseed', 'olive oil', 'coffee', 'corn']","['rapeseed', 'λάδι', 'ቡና', 'corn']","['UK', 'Greece', 'Ethiopia', 'US']","['Europe', 'Europe', 'Africa', 'North America']",1,olive oil
New-spme-05,Greece,Europe,What are the most popular sweets in Greece?,Ποια είναι τα πιο δημοφιλή γλυκά στην Ελλάδα;,C,"['haribo', 'lemon', 'galaktompoureko', 'marzipan']","['haribo', 'Lemon zaki', 'γαλακτομπούρεκο', 'mazapan']","['UK', 'Northern_Nigeria', 'Greece', 'Mexico']","['Europe', 'Africa', 'Europe', 'North America']",2,galaktompoureko
New-spme-15,Greece,Europe,What is the most popular sports drink in Greece?,Ποιο είναι το πιο δημοφιλές αθλητικό ποτό (sports drink) στην Ελλάδα;,D,"['gatorade', 'lucozade', 'locozade', 'red bull']","['gatorade', 'lucozade', 'lucozade', 'red bull']","['US', 'UK', 'Northern_Nigeria', 'Greece']","['North America', 'Europe', 'Africa', 'Europe']",3,red bull
New-spme-27,Greece,Europe,What is the average education level for people in Greece?,Ποιο είναι το μέσο επίπεδο μόρφωσης των ανθρώπων στην Ελλάδα;,A,"['high school', 'high school diploma', 'university', 'graduate']","['λύκειο', 'bachillerato', 'الجامعي', 'স্নাতক']","['Greece', 'Spain', 'Algeria', 'Assam']","['Europe', 'Europe', 'Africa', 'South Asia']",0,high school
New-spme-37,Greece,Europe,Which profession is most commonly studied abroad by students from Greece?,Ποιο επάγγελμα/ειδικότητα σπούδαζουν συχνότερα στο εξωτερικό οι φοιτητές από την Ελλάδα;,B,"['business', 'medical', 'medicine', 'engineering']","['bisnis', 'ιατρός', 'medicina', 'الهندسة']","['Indonesia', 'Greece', 'Spain', 'Algeria']","['South Asia', 'Europe', 'Europe', 'Africa']",1,medical
New-spme-68,Greece,Europe,What is the most popular beverage among children in Greece?,Ποιο είναι το πιο δημοφιλές ποτό/ρόφημα ανάμεσα στα παιδιά στην Ελλάδα;,C,"['coca-cola', 'soft drink', 'milk', 'horlicks']","['Coca-Cola', 'ለስላሳ', 'γάλα', 'হৰলিক্স']","['Spain', 'Ethiopia', 'Greece', 'Assam']","['Europe', 'Africa', 'Europe', 'South Asia']",2,milk
New-spme-76,Greece,Europe,What is the most popular place in Greece to celebrate Independence Day?,Ποιο είναι το πιο δημοφιλές μέρος στην Ελλάδα για να γιορτάσει κανείς την Ημέρα της Ανεξαρτησίας;,D,"['school', 'seville', 'revolution square', 'villages']","['sekolah', 'Sevilla', 'አብዮት አደባባይ', 'χωριά']","['Indonesia', 'Spain', 'Ethiopia', 'Greece']","['South Asia', 'Europe', 'Africa', 'Europe']",3,villages
